n,parameter,True value,Bias,Bias sd,RMSE,RMSE sd,Coverage,Coverage mcse
100,fixed_effects[0],2.0,-0.0025186432,0.01638760566711426,0.16307403,0.013439047149719663,0.91,0.028618176042508364
100,fixed_effects[1],0.2,0.00045141415,0.0013279512524604798,0.013220658,0.0008507682069262016,0.87,0.03363034344160047
100,fixed_effects[2],1.0,0.01368534,0.008184175938367844,0.08257349,0.0059750887318812005,0.96,0.019595917942265433
100,random_prec.flat[0],0.94856,0.012473342,0.010068195313215256,0.100950845,0.007836160077429299,0.99,0.009949874371066205
100,random_prec.flat[1],1.4978662,-0.009451109,0.01610790640115738,0.16055001,0.014138385091080844,0.94,0.023748684174075843
100,random_prec.flat[2],1.1512926,0.05394081,0.023689122498035432,0.24179721,0.02684395062568344,0.97,0.017058722109231986
100,noise_prec.flat[0],1.4978662,-0.0014722693,0.0019943563267588614,0.019898135,0.0013652077055677715,0.97,0.017058722109231986
100,"base_hazards.(1, 1).log_lmda[0]",-1.609438,-0.0018783628,0.023843543231487276,0.23724775,0.016497272826110375,0.96,0.019595917942265433
100,"base_hazards.(1, 2).log_lmda[0]",-4.6051702,-0.10028918,0.03259634971618652,0.33948135,0.02767843441689234,0.97,0.017058722109231986
100,"link_coefs.(1, 1)[0]",-1.0,-0.04145937,0.016873188316822052,0.17292956,0.014330210555595097,0.96,0.019595917942265433
100,"link_coefs.(1, 2)[0]",0.5,0.017429437,0.005640254914760589,0.05876411,0.00473507113215481,0.96,0.019595917942265433
100,"x_coefs.(1, 1)[0]",-1.0,-0.0058951057,0.015545041859149933,0.15478355,0.009702845350901886,0.98,0.014000000000000005
100,"x_coefs.(1, 2)[0]",0.5,0.02139668,0.013626097142696381,0.13725597,0.010284147091354641,0.96,0.019595917942265433
500,fixed_effects[0],2.0,-0.0029603995,0.014617779850959777,0.14547524,0.04681292878859673,0.77,0.042083250825001625
500,fixed_effects[1],0.2,0.008042778,0.007879962772130966,0.07881607,0.039115623895757005,0.69,0.04624932431938871
500,fixed_effects[2],1.0,-0.0020163255,0.006775796413421631,0.067448474,0.022121750487502128,0.88,0.03249615361854384
500,random_prec.flat[0],0.94856,-0.009967863,0.01108289584517479,0.11072301,0.044504037449454074,0.93,0.02551470164434614
500,random_prec.flat[1],1.4978662,-0.018298317,0.021959306299686433,0.21925727,0.09615326952245688,0.9,0.03
500,random_prec.flat[2],1.1512926,-0.01819712,0.014195416867733002,0.14241001,0.04744985703633807,0.92,0.027129319932501065
500,noise_prec.flat[0],1.4978662,-0.0019895125,0.0009386852383613586,0.009549349,0.0006227609094083162,0.91,0.028618176042508364
500,"base_hazards.(1, 1).log_lmda[0]",-1.609438,0.004416989,0.00957343801856041,0.095356874,0.006571956540032595,0.95,0.021794494717703377
500,"base_hazards.(1, 2).log_lmda[0]",-4.6051702,-0.0010295128,0.018145355582237243,0.18054694,0.03863271790893259,0.96,0.019595917942265433
500,"link_coefs.(1, 1)[0]",-1.0,-0.013805307,0.007635878771543503,0.077220105,0.007257850187185694,0.94,0.023748684174075843
500,"link_coefs.(1, 2)[0]",0.5,-0.00880872,0.01190280243754387,0.11875854,0.057308149107051724,0.96,0.019595917942265433
500,"x_coefs.(1, 1)[0]",-1.0,0.00431954,0.006241650879383087,0.062253695,0.0037736054193682894,0.97,0.017058722109231986
500,"x_coefs.(1, 2)[0]",0.5,0.017966347,0.00882280170917511,0.08960542,0.027379512026471906,0.98,0.014000000000000005
2000,fixed_effects[0],2.0,-0.0063291835,0.014587344229221344,0.1452802,0.05915798091591348,0.77,0.042083250825001625
2000,fixed_effects[1],0.2,0.008235669,0.008554642647504806,0.08551511,0.04258727662227544,0.56,0.04963869458396342
2000,fixed_effects[2],1.0,-0.003378316,0.0105097196996212,0.10462494,0.03563639779236237,0.72,0.0448998886412873
2000,random_prec.flat[0],0.94856,-0.011646237,0.012458425760269166,0.12450566,0.05816229044250068,0.89,0.031288975694324025
2000,random_prec.flat[1],1.4978662,-0.027022297,0.02144160121679306,0.21504578,0.10454322142194998,0.92,0.027129319932501065
2000,random_prec.flat[2],1.1512926,-0.031889196,0.019808003306388856,0.19965035,0.09465428769065468,0.93,0.02551470164434614
2000,noise_prec.flat[0],1.4978662,-0.00042174698,0.000433646235615015,0.0043352884,0.00037447693121378273,0.97,0.017058722109231986
2000,"base_hazards.(1, 1).log_lmda[0]",-1.609438,0.0020886003,0.010145166516304016,0.10096475,0.034339067683674264,0.9,0.03
2000,"base_hazards.(1, 2).log_lmda[0]",-4.6051702,0.010481358,0.007291705161333084,0.07330474,0.006095762377835662,0.96,0.019595917942265433
2000,"link_coefs.(1, 1)[0]",-1.0,0.003550526,0.00907231941819191,0.09033822,0.03653494258263779,0.92,0.027129319932501065
2000,"link_coefs.(1, 2)[0]",0.5,-0.013224631,0.012021548300981521,0.12034175,0.05967929907857828,0.98,0.014000000000000005
2000,"x_coefs.(1, 1)[0]",-1.0,0.015959842,0.0040793754160404205,0.04361428,0.0076929673958470975,0.91,0.028618176042508364
2000,"x_coefs.(1, 2)[0]",0.5,-0.012625149,0.011640482395887376,0.11650742,0.05460785230960646,0.95,0.021794494717703377
