model,landmark,horizon,n_records,mean_auc_ipcw,sd_auc_ipcw,n_valid_auc_ipcw,mean_c_index_ipcw,sd_c_index_ipcw,n_valid_c_index_ipcw,mean_brier_ipcw,sd_brier_ipcw,n_valid_brier_ipcw
parametric,1.4514093101024628,1.526887086033821,15,0.614760682128613,0.2089886946255119,8,0.6093351672962775,0.21054874480291072,8,0.03252304092656322,0.014431997341477541,7
parametric,1.4514093101024628,1.6023648619651794,15,0.6769043743026294,0.17296880589952848,11,0.6751119228572972,0.17332681301922315,11,0.05057472937155612,0.04740336134375969,10
parametric,1.4514093101024628,1.6778426378965379,15,0.690112651482205,0.14477012545066867,13,0.6741213390095696,0.14221768961303635,13,0.08484667883424753,0.050400285155811526,12
parametric,1.4514093101024628,1.7533204138278962,15,0.7046552737404409,0.1620351499349671,13,0.6854791372985835,0.15454919685931084,13,0.10589876986853841,0.06348192524513185,12
parametric,1.4514093101024628,1.8287981897592545,15,0.7238788481979975,0.10163377678267412,13,0.7056018171955242,0.09654027354841803,13,0.1449618505499907,0.08427838508297388,12
parametric,1.4514093101024628,1.9042759656906127,15,0.7004208001487298,0.10892459803596448,14,0.6957349732580266,0.10168674390559947,14,0.16812996313978865,0.11066458690510092,13
parametric,1.4514093101024628,1.979753741621971,15,0.6908358618132228,0.10155845657085318,14,0.6867819866008533,0.09216185142146086,14,0.17429516961263816,0.10651891894344026,13
parametric,1.4514093101024628,2.0552315175533296,15,0.6857730647095784,0.10112672078961309,14,0.661070552819136,0.10391036204305379,14,0.1868490999023255,0.10879275581552583,13
parametric,1.4514093101024628,2.1307092934846876,15,0.6879026337718361,0.1001438569574525,14,0.663497272675021,0.08839701585028209,14,0.18616670287038709,0.09646853029374877,13
parametric,1.4514093101024628,2.206187069416046,15,0.7043018343666467,0.08766045252949903,14,0.6740672511232713,0.07352224144463745,14,0.19015718813487523,0.08183530618191004,13
parametric,1.4514093101024628,2.2816648453474047,15,0.7043828415587835,0.11622630404272553,14,0.6722714715776857,0.0709466126376948,14,0.19326701806397234,0.06598746117220393,13
parametric,1.4514093101024628,2.3571426212787627,15,0.7100644876861149,0.1170996719192226,14,0.6683217560405251,0.08141777847523093,14,0.18954170692857333,0.057214085629241455,13
parametric,1.4514093101024628,2.4326203972101212,15,0.6642853288875257,0.1904178229271248,14,0.6698235808186833,0.07089744697600628,14,0.18427841847607418,0.04747278729185038,13
parametric,1.4514093101024628,2.5080981731414793,15,0.6625465985529928,0.15901558448899944,13,0.6585129765215724,0.07827515398962653,13,0.18074499991414172,0.03717080202766856,12
parametric,1.4514093101024628,2.583575949072838,15,0.7178598154195304,0.11847001091134034,12,0.6695790435918513,0.04464159907514786,12,0.17490632121644686,0.028630125662423664,11
parametric,1.4514093101024628,2.6590537250041963,15,0.772381178459747,0.13272103554022088,11,0.6685832856240078,0.05070901243503796,11,0.15568553981125824,0.048789860105217984,10
parametric,1.4514093101024628,2.7345315009355544,15,0.7834870683534252,0.16411498080596637,11,0.6602800720547731,0.0530841370979326,11,0.14761747159516253,0.059451497948068456,10
parametric,1.4514093101024628,2.8100092768669125,15,0.7853374911040972,0.1653628377924566,11,0.6497794441336296,0.06560826712782505,11,0.1516359020297929,0.07183082255273952,10
parametric,1.4514093101024628,2.885487052798271,15,0.8045452172192371,0.1873229596976786,10,0.6566822994695479,0.06945481594538777,10,0.16284885654844594,0.09410855057305884,9
parametric,1.4514093101024628,2.9609648287296295,15,0.7441139167702712,0.18033832074562603,9,0.6478674770015423,0.08264751547199418,9,0.18663926520587368,0.10181589304058324,8
parametric,1.4514093101024628,3.036442604660988,15,0.7107730123263302,0.18405064377586025,7,0.6399766960139109,0.06776317184311378,7,0.23289867922663923,0.1524944274696422,6
parametric,1.4514093101024628,3.111920380592346,15,0.6980556331463368,0.2238746804444281,6,0.6293648081568566,0.07788859809771703,6,0.2184831733481329,0.18659756551601708,5
parametric,1.4514093101024628,3.187398156523704,15,0.6068747634440964,0.34211043048271295,3,0.6191202549529241,0.11442538982017561,3,0.3533927837834315,0.21298407441987288,3
parametric,1.4514093101024628,3.2628759324550627,15,0.3767121759367569,,1,0.4973090278027219,,1,0.9837676230428747,,1
parametric,1.4514093101024628,3.338353708386421,15,0.0,,1,0.491840102577805,,1,0.7991193664650571,,1
parametric,1.4514093101024628,3.4138314843177797,15,,,0,,,0,,,0
parametric,1.4514093101024628,3.489309260249138,15,,,0,,,0,,,0
parametric,1.4514093101024628,3.5647870361804963,15,,,0,,,0,,,0
parametric,1.4514093101024628,3.6402648121118544,15,,,0,,,0,,,0
parametric,1.4514093101024628,3.715742588043213,15,,,0,,,0,,,0
