"block","parameter","estimate","posterior_sd","lower_95","upper_95","effective_size"
"betas1","(Intercept)",0.747068954905172,0.170509647992937,0.412144182801043,1.08154631553934,5044.2825636261
"betas1","year10",2.27264645269087,0.381792987334761,1.53433125914523,3.03823704872861,878.409344086887
"betas1","sex01",-0.246787239607727,0.182276649819924,-0.61098920732183,0.110396808323968,5414.52831441948
"betas1","I(year10^2)",0.284715642689503,0.118449921797129,0.0582801311809216,0.519687992487696,32.7137457558218
"betas1","age_z",-0.0205706023460524,0.0572800465824065,-0.132042671425447,0.0916123158203329,3237.43731112408
"betas1","prothrombin_z",0.0760944308287151,0.0123823462887832,0.0519029729594101,0.100594466779136,496.009681176164
"betas1","year10:sex01",-0.88847185562158,0.396114810639916,-1.67383427601094,-0.11869046728834,1488.31691154197
"sigmas","Mean",0.345691282036872,0.00645063451603915,0.333170107836551,0.35866892115355,896.692817302102
"D","D[1, 1]",0.956173702115247,0.0877750846239942,0.799742842447011,1.13893154560745,251.903853409505
"D","D[2, 1]",0.606851991486829,0.148302094014606,0.323458236998496,0.900406889930325,162.259642075959
"D","D[2, 2]",3.19045430774515,0.407796179026692,2.46960093479512,4.08140352877618,152.322143478975
"bs_gammas","bs_gammas_1",-3.43936023370166,1.1316636366054,-6.02069816929586,-1.52660295771968,33.1126578351589
"bs_gammas","bs_gammas_2",0.631467734478687,0.859283602139171,-0.869937243079279,2.64198493284327,35.188816093106
"gammas","drug01",-0.0368223077750565,0.181451906186719,-0.383116372606663,0.312295372296605,1365.50431824142
"gammas","age_z",0.672785686119359,0.0935273838938504,0.493365507228714,0.858623040519122,816.834957061364
"alphas","Mean",1.41394608551025,0.105031482616421,1.21195887978367,1.62843306346702,347.973537318028
