,fixed_effects[0],fixed_effects[1],fixed_effects[2],fixed_effects[3],fixed_effects[4],fixed_effects[5],fixed_effects[6],random_prec.flat[0],random_prec.flat[1],random_prec.flat[2],noise_prec.flat[0],"base_hazards.(0, 1).log_lmda[0]","base_hazards.(0, 1).log_k[0]","link_coefs.(0, 1)[0]","link_coefs.(0, 1)[1]","link_coefs.(0, 1)[2]"
fixed_effects[0],0.047099512,0.010222902,-0.047241747,-0.010113409,-0.0005274246,-0.002779641,-3.4994995e-05,0.00043631103,-0.00029297534,-0.0005975768,0.00012544198,-0.0011277032,-0.001326326,0.00054413715,0.0023061503,0.0011470682
fixed_effects[1],0.010222897,0.11532947,-0.009430334,-0.10940342,-0.0031761227,0.0014077416,0.00024398882,-0.00049460056,-0.00032336978,0.0041658995,0.0005366048,0.0028713662,-0.0015420176,-0.004383627,-0.0041714944,-0.004485863
fixed_effects[2],-0.047241762,-0.009430358,0.051611286,0.011395757,0.0012275212,0.0030798076,1.2694371e-05,0.00086891995,0.00078831334,0.0012782309,8.614016e-06,0.0019415043,0.0012272786,-0.001396229,-0.0030676364,-0.0010581616
fixed_effects[3],-0.010113404,-0.10940343,0.011395731,0.12372536,0.0013855658,-0.0013642721,-0.00024277385,0.0020777246,-0.0014447069,-0.0010486742,-0.0002785744,-0.0024966348,0.0024342574,0.0047066514,0.004022044,0.004400533
fixed_effects[4],-0.0005274314,-0.0031761427,0.0012275291,0.0013855939,0.007835043,-0.000341955,-0.0003443733,0.0011856292,-0.0011040113,-0.0011625187,8.620294e-05,-0.0054860143,-0.0023586012,-0.00076335814,6.0135266e-05,0.00035947957
fixed_effects[5],-0.0027796421,0.0014077434,0.003079809,-0.0013642762,-0.0003419545,0.0038591991,5.6385557e-05,0.00020905626,0.00039865775,0.0003696362,-1.6254231e-05,0.002226577,0.00073181017,-0.00039126512,-0.001953789,0.00078127993
fixed_effects[6],-3.4994155e-05,0.00024398987,1.2693509e-05,-0.0002427749,-0.00034437346,5.6385565e-05,5.302205e-05,-5.334039e-05,6.329656e-05,1.061406e-05,-1.0694949e-05,0.000363998,4.2026077e-05,-0.00020601747,-0.0003888377,0.0001462109
random_prec.flat[0],0.00043630897,-0.0004945983,0.00086892245,0.0020777218,0.0011856307,0.00020905628,-5.3340453e-05,0.0034073375,-0.0011867323,-0.00037042188,1.13232545e-05,-0.00041877214,-0.0002013514,-0.0002927862,0.00017182279,-3.3910535e-05
random_prec.flat[1],-0.00029297522,-0.00032337775,0.00078831305,-0.0014446987,-0.0011040118,0.00039865752,6.329655e-05,-0.0011867322,0.0032574004,0.0011020793,7.5045675e-05,0.00028197828,-0.00031322305,0.00015103814,-0.0006669205,0.00028690085
random_prec.flat[2],-0.0005975799,0.0041658906,0.0012782342,-0.0010486633,-0.0011625196,0.0003696361,1.061406e-05,-0.00037042188,0.0011020793,0.006220718,7.87476e-06,-0.0013785926,-0.00031383763,0.0015602781,0.0008773237,-0.00037955356
noise_prec.flat[0],0.00012544116,0.00053660217,8.614849e-06,-0.0002785721,8.620285e-05,-1.6254196e-05,-1.0694961e-05,1.1323186e-05,7.504578e-05,7.874776e-06,9.7646116e-05,6.587259e-05,-0.000117642645,-0.0002631692,-0.00012361981,2.1974696e-05
"base_hazards.(0, 1).log_lmda[0]",-0.0011277633,0.0028711758,0.0019415687,-0.0024964255,-0.0054860143,0.0022265792,0.0003639972,-0.00041877048,0.00028197956,-0.0013785932,6.587188e-05,0.0595916,0.012832409,-0.01665128,-0.021332672,-0.0012830239
"base_hazards.(0, 1).log_k[0]",-0.0013263538,-0.001542082,0.0012273083,0.0024343284,-0.0023585996,0.0007318112,4.2025913e-05,-0.00020135049,-0.00031322316,-0.00031383877,-0.00011764301,0.0128324,0.0072584134,-6.953457e-05,-0.0022851222,0.0011379791
"link_coefs.(0, 1)[0]",0.00054415764,-0.0043835086,-0.0013962525,0.0047065066,-0.00076335494,-0.00039126468,-0.0002060173,-0.00029278573,0.00015103689,0.0015602773,-0.0002631694,-0.016651291,-6.953815e-05,0.011881393,0.0043835,0.0009989684
"link_coefs.(0, 1)[1]",0.0023061559,-0.0041715354,-0.0030676418,0.0040221023,6.0134425e-05,-0.0019537907,-0.0003888374,0.00017182188,-0.00066692155,0.00087732257,-0.00012361933,-0.02133267,-0.0022851252,0.0043834946,0.03423904,-0.004115016
"link_coefs.(0, 1)[2]",0.00114707,-0.0044858395,-0.0010581639,0.0044005015,0.0003594828,0.00078128034,0.00014621083,-3.3910077e-05,0.0002869004,-0.00037955403,2.1974616e-05,-0.0012830285,0.0011379776,0.0009989687,-0.0041150157,0.006443365
