quantity,jmstate_estimate,jmstate_stderr,jmbayes2_estimate,jmbayes2_sd
beta: (Intercept),0.718941330909729,0.2235236465930938,0.747068954905172,0.170509647992937
beta: year10,2.2510132789611816,0.3413895666599273,2.27264645269087,0.381792987334761
beta: sex01,-0.1959098130464553,0.2339650392532348,-0.246787239607727,0.182276649819924
beta: year10:sex01,-0.7799379825592041,0.3538521528244018,-0.88847185562158,0.396114810639916
beta: I(year10^2),0.2787455022335052,0.0894205644726753,0.284715642689503,0.118449921797129
beta: age_z,-0.0824156552553176,0.0589262768626213,-0.0205706023460524,0.0572800465824065
beta: prothrombin_z,0.0639880076050758,0.007549409288913,0.0760944308287151,0.0123823462887832
"RE cov D[1, 1]",0.9576179830367915,0.11050852055361567,0.956173702115247,0.0877750846239942
"RE cov D[2, 1]",0.5890841231835466,0.18694970131237929,0.606851991486829,0.148302094014606
"RE cov D[2, 2]",2.877772997618063,0.4546222314632654,3.19045430774515,0.407796179026692
residual SD,0.3475032278826362,0.003543883511639496,0.345691282036872,0.0064506345160391
assoc alpha (value),1.3787342309951782,0.1085380017757415,1.41394608551025,0.105031482616421
gamma drug,-0.0192062333226203,0.1834008395671844,-0.0368223077750565,0.181451906186719
gamma age,0.6559404730796814,0.0788705870509147,0.672785686119359,0.0935273838938504
Weibull log_lmda,-1.3399988412857056,0.2495652139186859,-3.43936023370166,1.1316636366054
Weibull log_k,0.0898594483733177,0.0862167403101921,0.631467734478687,0.859283602139171
