model,landmark,horizon,n_records,mean_auc_ipcw,sd_auc_ipcw,n_valid_auc_ipcw,mean_c_index_ipcw,sd_c_index_ipcw,n_valid_c_index_ipcw,mean_brier_ipcw,sd_brier_ipcw,n_valid_brier_ipcw
jmstate,0.3708520382642746,0.4061758433779081,5,0.8525446579036062,0.1438606571714536,3,0.8424146005089576,0.15036349798866713,3,0.025331285132499604,0.011025497994901863,3
jmstate,0.3708520382642746,0.44149964849154155,5,0.8199383700401972,0.15761315030558348,4,0.8034725101485627,0.167682045309285,4,0.031004206638717956,0.010850124256905857,4
jmstate,0.3708520382642746,0.47682345360517503,5,0.8712483378107148,0.09055464033965978,4,0.8555296247074096,0.10275859725656251,4,0.04359757188595438,0.0186592531363915,4
jmstate,0.3708520382642746,0.5121472587188085,5,0.8995078732460311,0.06599901520352947,4,0.877204773952909,0.087924892989522,4,0.05015044805319195,0.018700658175811388,4
jmstate,0.3708520382642746,0.5474710638324419,5,0.9220659934290467,0.07334863851631244,4,0.8866601810815293,0.08883354524816457,4,0.05348434083104688,0.020290922113955313,4
jmstate,0.3708520382642746,0.5827948689460755,5,0.8144344891366059,0.3004926620806462,5,0.7830686761884749,0.27404758113979205,5,0.052602960248750906,0.00958786165555716,5
jmstate,0.3708520382642746,0.6181186740597089,5,0.8090312100576107,0.3103401253562193,5,0.7830686761884749,0.27404758113979205,5,0.05816270776562441,0.005068358302930825,5
jmstate,0.3708520382642746,0.6534424791733424,5,0.8071632258096664,0.3124093787436429,5,0.7805493813521587,0.25550631848864236,5,0.055769450193609835,0.01165914586568427,5
jmstate,0.3708520382642746,0.6887662842869758,5,0.826291247178194,0.277618691950139,5,0.783729332104706,0.2305522134023613,5,0.055377138422833296,0.014643742802083045,5
jmstate,0.3708520382642746,0.7240900894006093,5,0.7625008484809379,0.2433366203447418,5,0.7246417948540245,0.1981378845946754,5,0.07086728741424952,0.02510965534081249,5
jmstate,0.3708520382642746,0.7594138945142428,5,0.7717586578109856,0.2203511928070061,5,0.7310094614534248,0.1872015196580524,5,0.07442278841891514,0.02132275387176133,5
jmstate,0.3708520382642746,0.7947376996278763,5,0.7737954064680648,0.22266015247410872,5,0.7310094614534248,0.1872015196580524,5,0.07106713884819729,0.015348585786940734,5
jmstate,0.3708520382642746,0.8300615047415097,5,0.7629598569110309,0.24192353091424035,5,0.730838961516872,0.18767491526777969,5,0.07645062431076854,0.021164608799357276,5
jmstate,0.3708520382642746,0.8653853098551432,5,0.7357412530910616,0.10174480720855349,5,0.6865429891497724,0.07396820455486051,5,0.10374812930572777,0.04085686439600629,5
