model,n,n_reps,AIC,BIC,Fit mean (s),Fit sd (s),Summary mean (s),Summary sd (s)
correct,100,100,87,99,11.110414947996615,2.1195926016241162,3.3745117440086325,0.28444734601772537
less,100,100,0,0,9.361474467996741,1.6688810773192189,3.321086505005369,0.2855803913192788
more,100,100,13,1,10.00300154699362,1.951740678979915,3.5659857110027224,0.3544515427064749
mis,100,100,0,0,12.588137731002643,2.863225822194867,2.7972868350020144,0.23666663926162418
correct,500,100,82,99,18.62051855999627,5.418506318859013,5.81894094799878,0.13263949834680078
less,500,100,0,0,15.233898708999623,2.0592918073893474,5.768178812006954,0.11382340535178438
more,500,100,18,1,16.28863347100327,2.702585576988028,6.698264859997434,0.17247893747936943
mis,500,100,0,0,19.711765470997197,5.642316408806149,4.724452712999192,0.08164331332885762
correct,2000,100,74,96,40.183848339001415,12.027672021875526,16.321163921001133,0.21187128938503774
less,2000,100,0,0,30.518192022998118,4.522146094892945,15.61229736700072,0.21803077957191908
more,2000,100,26,4,35.47752728199819,15.0179985186561,20.481295433995548,0.3032747680406892
mis,2000,100,0,0,42.455198052997005,7.796884537318261,13.309959711006377,0.28029108193575614
